Word,Frequency
sepsis,60
septic,57
shock,55
fluid,41
mortality,28
use,28
emergency,25
followed,25
risk,22
physician,21
administration,20
management,18
antimicrobial,18
severe,18
early,17
guideline,16
may,16
aki,16
effect,16
infection,15
meropenem,15
main,14
result,14
bicarbonate,14
considered,14
since,14
however,14
ssc,14
acidosis,14
rrt,14
pressure,13
heparin,13
map,13
care,13
evidence,13
crossref,13
crystalloids,12
case,12
volume,12
failure,12
based,12
acute,12
different,11
level,11
outcome,11
increased,11
drug,11
associated,11
point,11
view,11
